id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
161227,Male,55,1,28.0,0,1-2 Year,Yes,24277.0,26.0,13,0
68790,Male,58,1,28.0,0,1-2 Year,Yes,28733.0,26.0,173,1
253232,Male,48,1,8.0,1,1-2 Year,No,48885.0,26.0,170,0
52339,Male,22,1,41.0,1,< 1 Year,No,21039.0,152.0,110,0
40430,Male,72,1,46.0,1,1-2 Year,No,36438.0,11.0,88,0
204877,Female,25,1,49.0,1,< 1 Year,No,2630.0,152.0,185,0
293701,Female,24,1,21.0,0,< 1 Year,No,37787.0,152.0,81,0
29567,Male,26,1,35.0,1,< 1 Year,No,28921.0,152.0,164,0
287780,Male,68,1,1.0,1,1-2 Year,No,2630.0,26.0,35,0
351630,Female,20,1,13.0,1,< 1 Year,No,2630.0,160.0,108,0
292963,Male,25,1,6.0,1,< 1 Year,No,24349.0,152.0,132,0
182302,Male,60,1,41.0,1,1-2 Year,No,44584.0,136.0,285,0
19219,Male,57,1,17.0,0,1-2 Year,Yes,2630.0,124.0,205,0
244205,Male,27,1,28.0,1,< 1 Year,No,27893.0,152.0,298,0
18064,Female,20,1,21.0,0,1-2 Year,Yes,34630.0,156.0,82,1
121810,Male,45,1,30.0,0,1-2 Year,Yes,27184.0,26.0,74,1
207846,Male,70,1,28.0,0,1-2 Year,Yes,46712.0,26.0,252,0
361039,Male,25,1,46.0,1,< 1 Year,No,25017.0,152.0,29,0
127450,Male,31,1,26.0,1,< 1 Year,Yes,2630.0,152.0,113,0
234127,Male,63,1,18.0,1,1-2 Year,No,37895.0,26.0,195,0
168045,Female,24,1,13.0,0,< 1 Year,No,31158.0,152.0,96,0
201131,Male,32,1,6.0,0,< 1 Year,Yes,26545.0,152.0,74,0
136645,Female,23,1,2.0,1,< 1 Year,No,22332.0,152.0,57,0
