id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
212682,Male,23,1,8.0,1,< 1 Year,No,38114.0,152.0,78,0
271750,Male,21,1,8.0,1,< 1 Year,No,29356.0,160.0,214,0
288556,Male,25,1,46.0,0,< 1 Year,Yes,2630.0,152.0,63,0
56411,Female,45,1,28.0,0,1-2 Year,Yes,34054.0,26.0,123,0
51870,Female,54,1,28.0,1,1-2 Year,No,52381.0,152.0,185,0
353709,Female,78,1,35.0,0,1-2 Year,Yes,20267.0,124.0,33,0
104007,Male,27,1,8.0,1,< 1 Year,No,32055.0,160.0,236,0
219372,Male,20,1,36.0,0,< 1 Year,No,2630.0,160.0,158,0
153731,Male,41,1,28.0,0,1-2 Year,Yes,34975.0,26.0,137,1
87472,Male,56,1,28.0,0,> 2 Years,Yes,38679.0,116.0,109,0
264350,Female,39,1,8.0,0,1-2 Year,Yes,34485.0,124.0,279,0
255744,Male,69,1,15.0,0,1-2 Year,Yes,27257.0,26.0,227,1
338600,Male,22,1,23.0,0,< 1 Year,Yes,38047.0,152.0,69,1
342130,Male,55,1,28.0,0,1-2 Year,Yes,35046.0,26.0,114,0
272235,Male,35,1,49.0,0,1-2 Year,Yes,2630.0,160.0,19,1
241696,Male,50,1,29.0,0,1-2 Year,No,28552.0,26.0,130,1
36425,Male,49,1,28.0,0,1-2 Year,Yes,27595.0,154.0,107,0
118812,Female,33,1,41.0,0,< 1 Year,Yes,27682.0,153.0,56,1
375471,Female,32,1,11.0,0,< 1 Year,No,28042.0,156.0,187,0
112872,Male,39,1,26.0,1,1-2 Year,No,12073.0,124.0,273,0
273893,Male,21,1,10.0,0,< 1 Year,Yes,22467.0,160.0,196,0
33174,Female,28,1,41.0,1,< 1 Year,No,29202.0,152.0,187,0
230088,Female,34,1,8.0,1,1-2 Year,No,38469.0,26.0,239,0
20694,Female,28,1,10.0,1,< 1 Year,No,25463.0,152.0,27,0
81061,Female,30,1,28.0,1,< 1 Year,No,37502.0,152.0,125,0
192872,Male,56,1,28.0,0,> 2 Years,Yes,42731.0,26.0,196,0
